trade_id,user_id,date,time,transaction_type,quantity,stock_id
TXN_00035,8093597035,2024-02-24,15:38:23,sell,200,1108
TXN_00036,9192201895,2024-07-18,14:33:13,sell,1494,1104
TXN_00037,1926010870,2025-05-01,9:45:33,sell,754,1102
TXN_00038,3768699384,2024-07-27,10:29:48,sell,1769,1107
TXN_00039,4313201683,2024-09-17,12:42:30,buy,2189,1104
TXN_00040,8093597035,2024-10-02,14:09:03,buy,1936,1104
TXN_00041,6625608873,2024-10-24,11:58:40,buy,1321,1108
TXN_00042,9192201895,2025-06-08,11:59:32,buy,2354,1110
TXN_00043,1402944639,2024-02-15,12:51:06,sell,1047,1104
TXN_00044,6625608873,2025-01-22,11:30:01,sell,1551,1101
TXN_00045,6772985563,2025-03-19,12:43:00,sell,2379,1103
TXN_00046,9474078998,2024-06-10,11:00:00,sell,973,1108
TXN_00047,9474078998,2024-01-01,10:37:35,buy,1744,1101
TXN_00048,3768699384,2025-06-05,11:56:29,buy,546,1107
TXN_00049,3768699384,2024-12-07,12:00:16,buy,1049,1105
TXN_00050,5229455093,2024-10-31,14:29:21,sell,1852,1107
TXN_00051,9192201895,2024-10-08,11:56:10,sell,2458,1101
TXN_00052,3997467631,2025-06-21,9:16:50,buy,271,1110
TXN_00053,6772985563,2025-06-08,12:05:37,sell,1091,1106
TXN_00054,6625608873,2024-10-27,11:10:34,buy,2152,1102
TXN_00055,9354048106,2024-06-11,12:52:19,sell,1645,1109
TXN_00056,3768699384,2024-01-01,10:50:54,buy,1611,1110
TXN_00057,5229455093,2025-04-19,10:58:05,buy,2393,1104
TXN_00058,7552075955,2025-02-11,11:15:14,buy,184,1108
TXN_00059,9192201895,2025-03-29,10:20:17,sell,1038,1110
TXN_00060,3997467631,2024-07-22,14:15:35,sell,1510,1108
TXN_00061,3768699384,2025-01-05,15:09:29,buy,809,1104
TXN_00062,6625608873,2025-07-20,12:49:23,buy,674,1109
TXN_00063,9862896116,2024-10-06,11:27:06,sell,1024,1110
TXN_00064,4313201683,2024-01-01,12:34:59,buy,1420,1102
TXN_00065,6772985563,2025-08-01,14:58:31,sell,2304,1103
TXN_00066,5775818865,2024-02-03,15:43:21,buy,2200,1102
TXN_00067,9192201895,2024-03-31,11:42:53,buy,218,1106
TXN_00068,6625608873,2024-07-14,14:36:56,sell,2040,1108
TXN_00069,9862896116,2024-10-29,9:43:20,sell,2364,1101
TXN_00070,6772985563,2024-08-21,14:57:54,sell,1075,1110
TXN_00071,7713225623,2024-05-16,13:32:28,buy,1403,1102
TXN_00072,7713225623,2024-03-15,14:41:46,sell,147,1102
TXN_00073,6772985563,2025-06-20,11:53:22,sell,2070,1108
TXN_00074,5229455093,2024-09-19,15:14:28,buy,124,1104
TXN_00075,9862896116,2025-05-08,14:47:16,buy,1068,1109
TXN_00076,6625608873,2024-10-09,10:08:29,sell,2183,1107
TXN_00077,7552075955,2025-01-27,9:56:51,sell,327,1103
TXN_00078,8093597035,2024-10-17,11:18:15,sell,587,1105
TXN_00079,1402944639,2025-04-20,13:16:21,sell,945,1110
TXN_00080,5150695988,2024-02-25,11:38:37,buy,1591,1103
TXN_00081,9803134690,2024-07-30,11:09:07,buy,1200,1110
TXN_00082,7713225623,2024-09-29,14:29:16,sell,883,1103
TXN_00083,4313201683,2024-09-05,10:11:44,buy,504,1104
TXN_00084,1402944639,2024-10-20,12:55:43,buy,1530,1102
TXN_00085,7552075955,2024-08-27,10:04:00,sell,218,1102
TXN_00086,9803134690,2024-06-07,11:28:04,sell,2104,1108
TXN_00087,9354048106,2025-01-06,10:47:54,buy,2142,1105
TXN_00088,5775818865,2025-08-08,14:32:19,sell,319,1108
TXN_00089,7713225623,2025-05-06,13:51:39,buy,1109,1103
TXN_00090,9354048106,2025-04-09,14:06:48,buy,1657,1110
TXN_00091,6625608873,2024-12-16,10:57:51,buy,1298,1107
TXN_00092,7552075955,2024-04-29,14:43:26,sell,1877,1104
TXN_00093,1926010870,2024-06-06,15:01:20,buy,2416,1104
TXN_00094,5970995017,2024-10-08,12:18:19,buy,1655,1107
TXN_00095,6772985563,2024-07-21,15:31:11,sell,334,1103
TXN_00096,1926010870,2025-07-29,14:00:26,sell,471,1101
TXN_00097,6772985563,2024-05-26,10:30:02,sell,318,1110
TXN_00098,6625608873,2024-08-31,14:10:49,buy,869,1102
TXN_00099,3614142517,2025-06-19,10:48:17,buy,494,1107
TXN_00100,1402944639,2024-01-25,14:11:23,sell,953,1104
TXN_00101,1402944639,2024-08-08,13:50:16,sell,819,1107
TXN_00102,4313201683,2024-10-14,15:18:17,buy,123,1103
TXN_00103,5229455093,2024-03-20,9:43:14,sell,1470,1110
TXN_00104,5229455093,2025-01-23,13:21:37,buy,2489,1105
TXN_00105,9474078998,2024-12-03,13:52:09,sell,721,1101
TXN_00106,6625608873,2025-03-10,14:17:13,buy,430,1105
TXN_00107,7713225623,2025-05-07,9:30:26,buy,1384,1101
TXN_00108,4313201683,2024-07-17,10:38:16,sell,1762,1108
TXN_00109,5970995017,2024-09-12,9:57:28,buy,444,1102
TXN_00110,9803134690,2024-07-07,15:35:06,sell,1870,1102
TXN_00111,9354048106,2024-12-13,9:58:50,sell,1658,1107
TXN_00112,9192201895,2024-07-10,14:19:19,buy,1559,1105
TXN_00113,4313201683,2025-05-03,12:11:09,buy,1135,1110
TXN_00114,9803134690,2024-10-14,14:35:16,sell,1650,1102
TXN_00115,1926010870,2024-06-02,15:54:03,buy,1116,1105
TXN_00116,6772985563,2024-12-03,15:25:57,sell,269,1110
TXN_00117,3614142517,2024-09-23,14:59:37,sell,1816,1103
TXN_00118,3997467631,2025-06-19,9:25:14,sell,1333,1106
TXN_00119,9474078998,2024-05-08,10:38:58,buy,1143,1102
TXN_00120,5150695988,2025-04-16,12:52:48,buy,2175,1102
TXN_00121,3768699384,2025-05-06,10:09:10,buy,1180,1103
TXN_00122,1402944639,2024-03-31,9:24:07,buy,1275,1105
TXN_00123,8093597035,2024-11-15,9:51:24,sell,1082,1103
TXN_00124,9862896116,2024-04-24,12:16:58,sell,810,1105
TXN_00125,7552075955,2024-11-27,15:48:57,sell,2454,1108
TXN_00126,9192201895,2024-07-12,14:23:23,sell,426,1103
TXN_00127,6772985563,2024-11-14,11:28:56,sell,383,1104
TXN_00128,7552075955,2025-05-14,13:52:57,sell,841,1102
TXN_00129,6772985563,2024-02-27,13:15:24,sell,2181,1103
TXN_00130,7713225623,2025-01-02,9:25:48,sell,300,1103
TXN_00131,4313201683,2024-04-18,12:05:02,buy,1877,1103
TXN_00132,9474078998,2025-02-07,11:54:58,sell,1270,1105
TXN_00133,9474078998,2024-01-29,12:46:04,sell,420,1109
TXN_00134,6772985563,2025-03-16,15:04:24,buy,2262,1109
TXN_00135,9862896116,2025-07-11,9:17:05,sell,2198,1110
TXN_00136,6625608873,2025-02-15,12:35:23,sell,1467,1107
TXN_00137,4313201683,2025-06-11,11:47:06,sell,945,1107
TXN_00138,3997467631,2025-01-29,14:30:17,buy,2455,1110
TXN_00139,9474078998,2025-02-02,12:18:02,sell,1834,1103
TXN_00140,9354048106,2025-01-17,12:59:25,buy,1001,1107
TXN_00141,9192201895,2025-02-12,13:52:11,sell,1133,1101
TXN_00142,9354048106,2024-08-12,13:00:25,sell,1541,1103
TXN_00143,3997467631,2025-02-06,15:37:06,buy,445,1109
TXN_00144,9803134690,2024-08-21,10:06:39,sell,1800,1110
TXN_00145,9192201895,2024-05-30,12:17:44,buy,1268,1103
TXN_00146,7552075955,2024-08-14,13:14:15,buy,1902,1102
TXN_00147,9192201895,2024-07-22,14:03:45,buy,1833,1104
TXN_00148,7713225623,2025-02-24,10:22:46,buy,133,1105
TXN_00149,9474078998,2025-07-06,12:44:57,buy,968,1106
TXN_00150,5970995017,2024-07-02,9:19:40,sell,1432,1102
TXN_00151,3768699384,2025-02-14,9:34:17,sell,1961,1103
TXN_00152,4313201683,2025-08-13,10:06:04,buy,2169,1108
TXN_00153,9192201895,2025-06-13,15:35:35,buy,2441,1102
TXN_00154,5775818865,2025-06-03,14:41:56,buy,2179,1102
TXN_00155,9192201895,2024-10-16,11:33:30,sell,1246,1106
TXN_00156,7552075955,2024-10-15,14:21:20,sell,1270,1106
TXN_00157,6625608873,2024-02-20,10:15:41,sell,1324,1102
TXN_00158,9803134690,2025-04-26,14:29:11,buy,1954,1103
TXN_00159,3997467631,2024-11-18,11:31:25,buy,592,1109
TXN_00160,1402944639,2025-05-22,13:05:54,sell,1978,1107
TXN_00161,9474078998,2024-06-02,15:47:35,buy,1933,1109
TXN_00162,4313201683,2024-01-16,10:09:39,sell,1711,1104
TXN_00163,1402944639,2025-04-29,12:56:31,buy,239,1106
TXN_00164,5775818865,2025-05-13,13:33:59,sell,779,1105
TXN_00165,1402944639,2024-04-25,9:12:59,sell,1716,1102
TXN_00166,5970995017,2025-02-07,14:17:27,buy,2053,1109
TXN_00167,7713225623,2025-04-14,15:32:42,sell,2028,1105
TXN_00168,9474078998,2025-05-28,11:26:41,buy,432,1106
TXN_00169,9474078998,2024-05-23,14:37:55,sell,1299,1101
TXN_00170,8093597035,2024-05-28,10:02:02,buy,1378,1106
TXN_00171,3614142517,2024-01-09,15:19:10,sell,1004,1110
TXN_00172,7552075955,2025-07-09,13:55:09,sell,715,1108
TXN_00173,6772985563,2024-03-14,10:10:43,sell,137,1101
TXN_00174,1402944639,2024-01-26,11:35:26,sell,976,1104
TXN_00175,5970995017,2025-02-13,12:27:03,sell,1031,1101
TXN_00176,4313201683,2024-09-21,14:21:50,buy,694,1106
TXN_00177,1926010870,2024-12-10,14:04:34,buy,617,1107
TXN_00178,3768699384,2024-08-04,11:10:54,sell,212,1105
TXN_00179,5775818865,2024-09-26,14:30:15,buy,584,1108
TXN_00180,3614142517,2025-04-20,12:14:13,sell,592,1101
TXN_00181,1926010870,2024-02-22,14:55:56,sell,2044,1101
TXN_00182,6625608873,2025-04-09,12:29:59,sell,2497,1109
TXN_00183,4313201683,2024-09-05,13:17:12,buy,1563,1106
TXN_00184,1402944639,2025-07-22,9:32:35,sell,1061,1108
TXN_00185,3997467631,2024-12-26,14:32:14,buy,1190,1110
TXN_00186,1402944639,2025-04-05,13:26:10,buy,820,1101
TXN_00187,3614142517,2024-02-20,11:07:01,sell,649,1101
TXN_00188,1926010870,2024-07-29,13:15:33,sell,309,1110
TXN_00189,9803134690,2025-05-15,9:09:49,sell,653,1107
TXN_00190,9803134690,2024-04-08,13:41:01,buy,2451,1107
TXN_00191,1402944639,2025-04-03,10:55:05,buy,1131,1107
TXN_00192,5229455093,2024-12-19,10:41:40,buy,749,1106
TXN_00193,5150695988,2025-08-05,14:57:07,sell,2398,1103
TXN_00194,5775818865,2024-11-17,15:06:47,sell,1522,1107
TXN_00195,3997467631,2025-03-22,13:12:27,sell,2238,1104
TXN_00196,1926010870,2025-02-28,9:11:28,sell,1544,1105
TXN_00197,3768699384,2025-03-01,12:31:59,sell,1992,1110
TXN_00198,3768699384,2025-03-15,12:26:08,buy,1760,1103
TXN_00199,9474078998,2025-05-25,12:31:05,buy,361,1106
TXN_00200,5775818865,2024-07-07,10:48:35,sell,678,1106
TXN_00201,9474078998,2024-09-15,13:17:36,sell,1963,1110
TXN_00202,7552075955,2024-12-25,11:09:16,sell,602,1107
TXN_00203,6772985563,2024-04-19,13:55:32,buy,2355,1105
TXN_00204,9474078998,2024-11-30,15:35:39,buy,170,1108
TXN_00205,3997467631,2024-11-30,13:35:46,sell,1495,1107
TXN_00206,3614142517,2024-01-12,12:55:19,buy,1080,1107
TXN_00207,1402944639,2025-07-06,14:19:26,buy,2115,1108
TXN_00208,5970995017,2024-09-05,10:29:17,sell,1871,1109
TXN_00209,3614142517,2024-07-28,9:20:12,buy,1946,1102
TXN_00210,3768699384,2024-04-15,14:44:06,sell,518,1104
TXN_00211,9192201895,2024-10-04,14:46:51,sell,1984,1106
TXN_00212,9803134690,2024-12-07,15:34:27,buy,1899,1108
TXN_00213,9474078998,2025-06-14,12:37:34,buy,2145,1101
TXN_00214,8093597035,2024-11-03,14:15:38,buy,1355,1107
TXN_00215,8093597035,2024-02-13,13:03:12,sell,1200,1109
TXN_00216,4313201683,2025-04-14,12:43:13,sell,2044,1102
TXN_00217,9354048106,2024-04-02,15:00:51,sell,874,1105
TXN_00218,6625608873,2025-03-06,10:36:08,sell,2092,1108
TXN_00219,9354048106,2024-02-18,12:55:42,sell,2497,1105
TXN_00220,7713225623,2024-09-16,10:46:19,buy,351,1108
TXN_00221,3614142517,2024-08-16,9:17:21,sell,2418,1107
TXN_00222,5775818865,2024-05-10,11:23:10,sell,1655,1106
TXN_00223,1402944639,2024-03-02,15:53:22,sell,747,1109
TXN_00224,6772985563,2024-10-26,12:16:48,sell,1884,1101
TXN_00225,9354048106,2024-09-05,12:04:11,sell,973,1105
TXN_00226,3768699384,2024-07-06,13:10:00,sell,1279,1110
TXN_00227,7713225623,2025-02-19,10:43:42,buy,1734,1110
TXN_00228,5150695988,2025-04-03,9:10:33,sell,1016,1101
TXN_00229,6772985563,2025-03-06,12:21:13,buy,1243,1105
TXN_00230,9192201895,2024-03-29,14:28:23,buy,2024,1103
TXN_00231,9862896116,2025-05-08,11:09:40,sell,943,1109
TXN_00232,6625608873,2024-08-29,11:22:34,sell,680,1103
TXN_00233,5970995017,2024-07-01,9:46:03,sell,1322,1106
TXN_00234,5970995017,2024-09-21,15:57:04,sell,479,1107
TXN_00235,9862896116,2024-02-17,12:07:14,sell,804,1109
TXN_00236,6625608873,2024-01-25,10:55:21,buy,1455,1101
TXN_00237,9803134690,2024-12-03,11:02:38,sell,380,1103
TXN_00238,5150695988,2024-11-02,11:06:27,sell,986,1101
TXN_00239,1926010870,2024-06-02,11:34:58,buy,980,1105
TXN_00240,9354048106,2025-05-31,10:28:12,buy,2434,1104
TXN_00241,5150695988,2024-05-27,11:56:46,buy,2055,1106
TXN_00242,5775818865,2025-06-28,15:40:33,buy,509,1101
TXN_00243,1926010870,2024-12-30,13:02:04,sell,139,1108
TXN_00244,9474078998,2025-05-10,10:26:46,sell,910,1109
TXN_00245,9354048106,2025-05-16,14:38:26,buy,851,1108
TXN_00246,7713225623,2025-03-29,15:58:25,sell,2002,1101
TXN_00247,5229455093,2025-03-10,11:05:12,sell,1845,1108
TXN_00248,1926010870,2024-10-16,10:56:52,sell,2277,1108
TXN_00249,1402944639,2025-02-19,10:34:16,buy,260,1103
TXN_00250,7552075955,2024-01-31,12:46:58,buy,1030,1109
TXN_00251,9354048106,2025-05-30,14:50:20,sell,1949,1109
TXN_00252,5775818865,2024-02-19,10:37:20,sell,476,1101
TXN_00253,5775818865,2025-04-01,11:32:47,buy,157,1109
TXN_00254,1926010870,2025-02-04,10:58:06,buy,588,1110
TXN_00255,5970995017,2024-06-22,11:22:01,sell,706,1105
TXN_00256,3768699384,2024-10-06,10:16:18,sell,2368,1109
TXN_00257,9803134690,2024-02-22,12:31:28,sell,142,1108
TXN_00258,6772985563,2024-09-30,10:29:10,buy,1798,1108
TXN_00259,9474078998,2024-12-08,11:43:31,sell,1183,1105
TXN_00260,9192201895,2024-06-19,13:51:06,buy,1507,1101
TXN_00261,3768699384,2025-04-28,13:47:40,buy,1526,1104
TXN_00262,1402944639,2025-04-06,13:59:49,buy,1125,1104
TXN_00263,6625608873,2025-07-24,12:13:35,sell,1067,1101
TXN_00264,4313201683,2024-06-19,10:39:25,buy,995,1106
TXN_00265,6625608873,2024-02-06,14:25:57,buy,1400,1105
TXN_00266,6625608873,2024-08-22,13:21:20,sell,1259,1101
TXN_00267,4313201683,2025-02-19,13:22:00,buy,1268,1105
TXN_00268,7713225623,2024-02-22,11:42:17,buy,581,1110
TXN_00269,9192201895,2025-07-23,9:32:47,sell,2169,1104
TXN_00270,5150695988,2025-08-03,15:18:11,sell,1915,1108
TXN_00271,5150695988,2024-02-13,10:19:53,buy,1344,1108
TXN_00272,3614142517,2025-05-26,15:29:48,sell,2393,1107
TXN_00273,8093597035,2025-05-22,14:01:02,buy,1087,1106
TXN_00274,7713225623,2024-07-09,9:51:04,buy,2309,1101
TXN_00275,1402944639,2024-07-12,10:40:18,buy,1647,1102
TXN_00276,6625608873,2025-05-27,11:27:08,sell,954,1103
TXN_00277,7713225623,2024-03-18,15:34:47,buy,427,1107
TXN_00278,9474078998,2024-12-13,9:16:46,buy,2265,1102
TXN_00279,6625608873,2025-07-24,12:25:36,sell,1874,1104
TXN_00280,9803134690,2024-03-25,9:28:11,sell,218,1101
TXN_00281,1402944639,2024-11-18,13:43:28,buy,1707,1105
TXN_00282,7713225623,2025-02-27,14:03:52,buy,2297,1103
TXN_00283,5775818865,2024-10-25,9:19:20,buy,1631,1109
TXN_00284,7713225623,2024-06-10,15:24:33,sell,1475,1105
TXN_00285,8093597035,2025-06-09,10:01:58,sell,1951,1101
TXN_00286,5150695988,2025-05-13,14:15:21,sell,2337,1108
TXN_00287,1402944639,2024-01-09,14:34:15,sell,798,1108
TXN_00288,3768699384,2024-08-13,12:49:58,sell,421,1110
TXN_00289,1926010870,2025-03-25,14:19:35,sell,1185,1102
TXN_00290,1402944639,2024-04-22,13:59:04,sell,1860,1102
TXN_00291,6625608873,2025-03-26,13:21:55,buy,750,1104
TXN_00292,3614142517,2024-04-09,12:57:08,buy,1742,1105
TXN_00293,9192201895,2025-03-08,11:45:01,buy,851,1108
TXN_00294,7713225623,2024-04-23,14:40:23,sell,2149,1103
TXN_00295,9192201895,2024-06-13,15:26:59,buy,590,1106
TXN_00296,5970995017,2024-03-23,14:26:33,buy,1230,1110
TXN_00297,7552075955,2024-04-12,14:29:51,sell,2226,1107
TXN_00298,3614142517,2025-04-25,12:27:32,sell,550,1109
TXN_00299,3614142517,2024-10-02,10:29:41,sell,2222,1109
TXN_00300,9803134690,2024-01-01,13:12:46,buy,335,1106
TXN_00301,7713225623,2024-11-06,15:27:02,buy,1189,1102
TXN_00302,5775818865,2024-08-30,13:52:49,sell,144,1103
TXN_00303,6625608873,2024-11-04,12:30:47,buy,2472,1107
TXN_00304,1926010870,2025-07-23,13:41:48,buy,2325,1103
TXN_00305,5229455093,2025-03-01,14:29:12,buy,1809,1101
TXN_00306,8093597035,2024-04-30,13:55:59,buy,758,1104
TXN_00307,4313201683,2025-01-26,9:14:19,buy,741,1110
TXN_00308,1926010870,2024-01-18,10:56:42,buy,2208,1108
TXN_00309,8093597035,2025-02-05,13:28:39,buy,2213,1101
TXN_00310,9192201895,2024-07-17,11:31:24,sell,132,1108
TXN_00311,9192201895,2024-11-23,10:34:27,buy,1994,1108
TXN_00312,6772985563,2024-07-31,14:52:03,buy,1301,1105
TXN_00313,5229455093,2025-08-06,10:59:49,buy,876,1106
TXN_00314,9862896116,2025-02-09,10:16:35,buy,1533,1101
TXN_00315,9474078998,2025-04-18,14:15:31,sell,1252,1103
TXN_00316,4313201683,2024-08-09,11:04:01,sell,547,1105
TXN_00317,1402944639,2024-12-31,10:31:58,buy,1544,1109
TXN_00318,1926010870,2025-02-21,13:33:12,buy,381,1107
TXN_00319,5775818865,2024-12-17,14:07:50,sell,797,1107
TXN_00320,7552075955,2024-01-04,10:08:14,buy,1944,1108
TXN_00321,5150695988,2025-03-18,11:20:34,sell,415,1110
TXN_00322,9474078998,2025-08-04,14:37:30,buy,2034,1103
TXN_00323,7713225623,2025-05-24,14:57:52,buy,1638,1107
TXN_00324,1926010870,2024-05-15,15:55:32,buy,1314,1106
TXN_00325,5150695988,2024-03-02,12:25:20,buy,807,1104
TXN_00326,3768699384,2024-12-09,9:18:27,sell,2493,1105
TXN_00327,5150695988,2025-07-19,15:46:44,sell,383,1104
TXN_00328,7713225623,2025-06-30,15:26:32,sell,327,1101
TXN_00329,8093597035,2025-01-10,14:09:32,buy,2075,1106
TXN_00330,4313201683,2025-07-01,13:45:56,sell,1337,1110
TXN_00331,9354048106,2024-07-28,15:10:56,buy,557,1104
TXN_00332,1402944639,2024-03-21,11:14:18,sell,2315,1105
TXN_00333,5775818865,2025-05-08,9:52:29,sell,613,1101
TXN_00334,9474078998,2024-08-04,13:38:33,buy,1639,1102
TXN_00335,8093597035,2025-07-03,10:38:58,sell,1409,1103
TXN_00336,6625608873,2024-02-27,14:38:38,sell,2029,1104
TXN_00337,9474078998,2024-10-24,13:34:01,sell,1679,1104
TXN_00338,5970995017,2025-06-24,13:06:42,sell,1110,1106
TXN_00339,5970995017,2024-05-08,14:58:58,sell,1056,1104
TXN_00340,5150695988,2024-12-22,15:41:10,sell,346,1110
TXN_00341,3768699384,2024-12-18,9:26:43,buy,2439,1102
TXN_00342,9354048106,2025-03-30,11:47:39,sell,1435,1110
TXN_00343,3768699384,2025-08-06,15:42:21,sell,2461,1109
TXN_00344,7552075955,2025-07-22,14:22:05,buy,2478,1108
TXN_00345,1926010870,2025-05-16,14:50:30,buy,1312,1110
TXN_00346,8093597035,2024-08-24,9:41:05,buy,2489,1109
TXN_00347,4313201683,2025-07-19,13:35:57,sell,764,1102
TXN_00348,6625608873,2025-08-01,11:05:56,sell,453,1106
TXN_00349,5150695988,2024-12-28,13:45:35,sell,807,1103
TXN_00350,8093597035,2025-01-29,13:52:49,buy,224,1107
TXN_00351,6772985563,2025-07-17,13:51:02,sell,1054,1101
TXN_00352,1926010870,2024-08-31,10:17:03,buy,629,1109
TXN_00353,9192201895,2024-07-01,9:53:33,buy,423,1109
TXN_00354,7713225623,2024-08-15,11:58:04,sell,1104,1104
TXN_00355,1402944639,2024-11-03,13:34:04,buy,1841,1108
TXN_00356,3614142517,2024-02-18,11:16:07,sell,1721,1105
TXN_00357,4313201683,2025-01-27,13:38:59,sell,2252,1103
TXN_00358,9354048106,2025-04-23,12:51:50,sell,1798,1109
TXN_00359,5150695988,2024-04-13,15:48:12,sell,1329,1103
TXN_00360,6625608873,2024-05-08,12:12:35,buy,2207,1101
TXN_00361,3614142517,2024-11-29,14:19:07,buy,1028,1101
TXN_00362,9192201895,2024-05-25,14:07:04,buy,1983,1105
TXN_00363,3614142517,2024-10-05,12:22:55,buy,1109,1108
TXN_00364,5970995017,2024-05-22,11:08:38,buy,750,1110
TXN_00365,6772985563,2025-08-08,13:19:11,sell,1179,1108
TXN_00366,9474078998,2025-04-05,12:24:58,buy,1749,1106
TXN_00367,4313201683,2024-02-26,9:59:57,sell,2249,1103
TXN_00368,5229455093,2024-01-29,9:14:30,buy,603,1102
TXN_00369,7713225623,2024-12-29,12:10:44,sell,1384,1108
TXN_00370,5775818865,2024-05-17,15:39:19,buy,1430,1103
TXN_00371,4313201683,2024-01-23,12:50:21,buy,654,1102
TXN_00372,8093597035,2025-07-20,10:13:30,buy,236,1108
TXN_00373,7552075955,2024-12-19,13:31:17,buy,2023,1110
TXN_00374,6625608873,2025-03-15,14:31:47,sell,1495,1108
TXN_00375,8093597035,2024-04-27,11:05:29,sell,811,1104
TXN_00376,5775818865,2024-07-01,15:00:14,buy,753,1110
TXN_00377,8093597035,2024-07-14,14:04:09,buy,1388,1101
TXN_00378,9862896116,2025-06-11,12:04:52,buy,758,1106
TXN_00379,6625608873,2024-06-25,10:43:56,buy,315,1103
TXN_00380,5150695988,2024-12-28,13:37:55,buy,533,1107
TXN_00381,4313201683,2025-08-02,13:50:30,sell,254,1109
TXN_00382,5229455093,2024-10-11,11:02:05,buy,1478,1105
TXN_00383,4313201683,2025-08-12,14:54:03,buy,1835,1107
TXN_00384,9862896116,2024-01-12,13:16:44,buy,592,1108
TXN_00385,5229455093,2025-03-25,14:18:10,buy,984,1102
TXN_00386,3614142517,2024-05-29,14:46:36,buy,1402,1110
TXN_00387,7552075955,2024-07-23,15:44:49,buy,1080,1105
TXN_00388,5150695988,2025-04-19,14:42:49,sell,448,1106
TXN_00389,3768699384,2025-04-15,15:20:19,buy,2474,1104
TXN_00390,3768699384,2024-05-18,10:35:00,buy,1785,1110
TXN_00391,7552075955,2025-04-16,12:47:14,sell,1922,1110
TXN_00392,5970995017,2024-11-19,9:24:30,buy,1040,1103
TXN_00393,5970995017,2025-06-26,15:15:28,buy,254,1107
TXN_00394,7552075955,2024-08-07,9:48:14,sell,707,1103
TXN_00395,3768699384,2025-05-23,15:52:49,sell,1191,1110
TXN_00396,6772985563,2024-01-18,11:04:41,sell,515,1103
TXN_00397,5970995017,2025-06-02,14:02:43,buy,1227,1104
TXN_00398,9862896116,2025-05-14,12:30:08,buy,268,1104
TXN_00399,9803134690,2024-11-06,12:50:02,buy,1028,1108
TXN_00400,7552075955,2024-03-10,15:14:48,buy,479,1107
TXN_00401,9192201895,2024-02-25,11:28:00,buy,2264,1103
TXN_00402,5150695988,2025-04-07,15:00:37,sell,710,1106
TXN_00403,1402944639,2024-06-21,9:13:37,buy,818,1101
TXN_00404,5150695988,2025-04-18,15:33:33,sell,751,1105
TXN_00405,9474078998,2025-01-16,15:19:16,sell,806,1105
TXN_00406,3768699384,2024-07-05,11:34:37,buy,921,1105
TXN_00407,1402944639,2025-05-24,10:51:24,buy,178,1105
TXN_00408,5775818865,2025-04-29,10:09:56,buy,253,1109
TXN_00409,7713225623,2024-04-22,14:02:17,buy,2354,1108
TXN_00410,9862896116,2024-03-05,11:33:45,buy,1135,1109
TXN_00411,3614142517,2024-12-07,12:43:47,sell,1881,1107
TXN_00412,9803134690,2024-06-29,9:42:41,sell,206,1101
TXN_00413,7552075955,2025-02-23,11:10:48,sell,1448,1104
TXN_00414,9192201895,2025-02-16,12:44:46,buy,633,1108
